NUTS3,UKH17,Breckland and South Norfolk,2569,2635,2783,2926,3066,3176,3407,3543,3653,3870,3889,4105,4051,4256,4560,4831,4861,5158,5304
NUTS2,UKH2,Bedfordshire and Hertfordshire,25030,26774,28237,30171,31169,32623,34457,35121,37370,38209,39539,42333,40409,40590,40747,41992,44760,47044,47936
NUTS3,UKH21,Luton,2549,2649,2853,2938,3144,3278,3450,3391,3745,4150,4534,4849,4483,4295,4228,4221,4422,4665,4888
NUTS3,UKH23,Hertfordshire,17632,18998,20257,21758,22340,23294,24529,24967,26603,26849,27350,29746,28437,28712,28644,29686,31629,33235,33864
NUTS3,UKH24,Bedford,1964,2070,2077,2216,2302,2450,2664,2794,2893,2979,3159,3178,3182,3223,3325,3314,3459,3658,3842
NUTS3,UKH25,Central Bedfordshire,2886,3058,3050,3259,3383,3600,3813,3970,4129,4231,4496,4560,4306,4360,4550,4771,5250,5487,5342
NUTS2,UKH3,Essex,20296,21027,21126,22554,24019,25299,27841,28332,29084,30940,32319,32628,31475,32500,33034,33233,34690,36894,38054
NUTS3,UKH31,Southend-on-Sea,1877,1945,1997,2128,2207,2382,2487,2529,2502,2643,2758,2857,2845,2877,2827,2860,2945,3121,3132
NUTS3,UKH32,Thurrock,2141,2257,2120,2126,2171,2309,2628,2828,2722,2872,2731,2742,2877,2765,3000,2692,2939,3163,3270
NUTS3,UKH34,Essex Haven Gateway,4821,5008,5058,5433,5810,6125,6772,6902,7158,7639,8060,7991,7484,7953,8076,8205,8487,9026,9191
NUTS3,UKH35,West Essex,3699,3816,3873,4178,4498,4711,5145,5155,5358,5683,5989,6145,5736,6141,6171,6257,6480,7214,7468
NUTS3,UKH36,Heart of Essex,3981,4106,4179,4483,4830,5061,5603,5660,5888,6304,6648,6684,6684,6746,6859,6935,7263,7505,7794
NUTS3,UKH37,Essex Thames Gateway,3778,3895,3898,4206,4502,4710,5206,5259,5456,5799,6134,6210,5849,6018,6102,6283,6576,6864,7200
NUTS1,UKI,London,158870,169186,177795,193005,199103,206643,217825,229372,247693,258825,281076,290635,289668,297746,315578,328738,340376,366640,378424
NUTS2,UKI3,Inner London - West,57372,61018,63813,70374,73615,76673,81451,87007,96246,100576,111765,116076,120061,124128,131371,135433,141410,154443,157285
NUTS3,UKI31,Camden and City of London,23604,24845,25556,28358,29590,31279,34108,37329,42599,45118,51048,51455,54932,57156,60261,61966,65037,71721,73161
NUTS3,UKI32,Westminster,19832,21173,22297,24482,25777,26699,28153,29625,32330,33347,36596,39113,40317,41391,43998,45264,47439,52682,53573
NUTS3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,9305,10100,10740,11818,12297,12530,12917,13552,14319,14777,16196,17235,16821,17626,18599,19323,19786,20710,21047
NUTS3,UKI34,Wandsworth,4631,4900,5221,5717,5952,6164,6273,6502,6997,7334,7925,8273,7990,7956,8513,8880,9148,9331,9504
NUTS2,UKI4,Inner London - East,37767,40085,41982,46460,48509,50248,53215,56957,62479,65106,71762,73875,73668,75210,81873,84138,86355,92023,96666
NUTS3,UKI41,Hackney and Newham,5993,6342,6668,7345,7688,7958,8308,8745,9356,9725,10458,10537,10768,11142,12098,12882,13102,13441,13753
NUTS3,UKI42,Tower Hamlets,9259,9512,9668,10734,11144,11757,12949,14575,16920,17985,20492,20089,20811,20097,23580,23218,24398,26997,28973
NUTS3,UKI43,Haringey and Islington,9834,10608,11223,12395,12939,13328,13952,14737,15960,16482,18078,19066,18455,19041,19863,20246,20900,21968,22831
NUTS3,UKI44,Lewisham and Southwark,8399,9002,9528,10546,11052,11374,11935,12512,13445,13927,15056,15673,15217,16419,17294,18213,18310,18838,19844
NUTS3,UKI45,Lambeth,4282,4621,4896,5439,5687,5832,6071,6388,6798,6987,7677,8509,8418,8510,9038,9580,9645,10780,11265
NUTS2,UKI5,Outer London - East and North East,17985,18960,19826,20830,21315,22067,23044,23765,24858,26268,27413,28154,27066,27858,29099,31074,31892,32967,34467
NUTS3,UKI51,Bexley and Greenwich,4930,5217,5486,5785,5922,6105,6359,6554,6893,7325,7665,7819,7694,7859,8211,8628,9019,9283,9788
NUTS3,UKI52,Barking & Dagenham and Havering,4581,4805,5002,5208,5290,5447,5685,5863,6098,6387,6683,6936,6630,6926,7217,7682,7790,8035,8395
NUTS3,UKI53,Redbridge and Waltham Forest,4824,5095,5333,5630,5826,6088,6365,6575,6873,7281,7492,7768,7266,7434,7854,8594,8926,9318,9686
NUTS3,UKI54,Enfield,3650,3843,4005,4207,4278,4427,4634,4773,4993,5274,5574,5631,5475,5640,5817,6169,6158,6331,6599
NUTS2,UKI6,Outer London - South,16148,17284,18234,19353,19586,20377,21378,22047,22927,24193,25476,25747,24369,24638,25048,26150,26337,27880,28582
NUTS3,UKI61,Bromley,4398,4715,4939,5209,5308,5500,5787,5986,6230,6585,6863,6467,6319,6122,6187,6497,6532,6981,7117
